index,author,tweet,label,polarity,nouns
1,@ai_lxn,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
2,@couchofwar,Happy ☁☁☁😏👑@GeneralGrave,Positive,0.8,['☁☁☁😏👑 @', 'generalgrave']
3,@bellygoddess_,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
4,@am_jorge_,Happy 420,Positive,0.8,[]
5,@Cool38Tevin,why are all these people saying "Happy 420!!" you smoked weed once at a Wiz Khalifa concert.,Positive,1.0,['happy', 'wiz khalifa']
6,@SANVERSCULLY,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
7,@viidakon,Happy 420,Positive,0.8,[]
8,@Secretangie1,Happy 4/20#SweetLeaf,Positive,0.8,['sweetleaf']
9,@shawnelias,On that note happy 420,Positive,0.8,[]
10,@guianbeltran,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
11,@savannaacc,Happy 420,Positive,0.8,[]
12,@slytherinidc,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
13,@HeySar4h,Happy 420 don't watch the crease  Bill it Nd retweet 💨💨💨,Positive,0.8,['bill', 'nd', 'retweet 💨💨💨']
14,@YourBitchAlisha,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
15,@EdenHart2001,Happy 💨,Positive,0.8,[]
16,@ajalyno,Happy 420,Positive,0.8,[]
17,@DaleQuez,Happy 420 lolol,Positive,0.8,[]
18,@TattersalKatie,Big foreheads&gt&gt&gt lol happy 420,Positive,0.5333333333333333,['big foreheads', 'gt lol']
19,@djsimmons224,DON'T SMOKE NO DAMN WEED HAPPY 420 THO,Positive,0.8,["do n't smoke no damn weed happy", 'tho']
20,@maddiemorelli_,happy 420,Positive,0.8,[]
21,@OlaseniOladejo,Happy 420 everybody! Side effects of Marijuana may include: short attention span forgetfulness short attention span a…,Positive,0.3333333333333333,['side', 'marijuana', 'short attention span forgetfulness', 'short attention span a…']
22,@jaxon_burkeeee,DON'T SMOKE NO DAMN WEED HAPPY 420 THO,Positive,0.8,["do n't smoke no damn weed happy", 'tho']
23,@FxtimaM,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
24,@kazimomar,Happy 420 🍃,Positive,0.8,[]
25,@BarelyBrooke,Happy 420 Kush it up day 😜 🌲,Positive,0.8,['kush', 'day 😜 🌲']
26,@jwokr,Happy ! Come see,Positive,1.0,[]
27,@deepesos,"Herb is the healing of a nation. Alcohol is the destruction." —Bob Marley.Happy 420!,Neutral,0.0,['herb', 'alcohol', 'marley.happy']
28,@COCAINESAVON,DON'T SMOKE NO DAMN WEED HAPPY 420 THO,Positive,0.8,["do n't smoke no damn weed happy", 'tho']
29,@bocajason,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
30,@LarsHBild,I feel a hunger which all the nourishment in the world cannot satisfy. Happy 420 everyone,Positive,0.8,['happy']
31,@Palpatelas,Happy 420,Positive,0.8,[]
32,@mgdpdgmj,Happy 420. Download now.,Positive,0.8,['download']
33,@bukenkebukenzo,Happy 420 everybody! Side effects of Marijuana may include: short attention span forgetfulness short attention span a…,Positive,0.3333333333333333,['side', 'marijuana', 'short attention span forgetfulness', 'short attention span a…']
34,@antivibess,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
35,@ITSCHOCOTACO,Happy 420,Positive,0.8,[]
36,@perryzgoddess,happy and now,Positive,0.8,[]
37,@saraa165,Happy 420,Positive,0.8,[]
38,@DeeDeeLover1,🙌 YASSS It's time for a great show ⭐📷Mr.CaliBornRyan💯:happy 420,Positive,0.8,['yasss', "'s time", 'great show ⭐📷mr.calibornryan💯']
39,@AnselMould,Happy 420,Positive,0.8,[]
40,@JohannftwJohann,HAPPY 420,Positive,0.8,['happy']
41,@katiehillel,Happy 420,Positive,0.8,[]
42,@kizzy1_,Happy 420,Positive,0.8,[]
43,@brownboybami,Happy 420 🍃,Positive,0.8,[]
44,@Nette99_,Happy 420,Positive,0.8,[]
45,@afiatik,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
46,@My2Sintz,Happy 420 from all of us at the ACLU!,Positive,1.0,['aclu']
47,@x5_mil,420? More like 720 😛👌 FaZe Up dont✋🏻✋🏻 Blaze up ☘☘ Hit a bill 😉✌🏻️ not a bong 👊🏻😂😤happy 420,Positive,0.5,['faze up', 'blaze', 'bill 😉✌🏻️', 'bong 👊🏻😂😤happy']
48,@kellyshaddocks,Happy 420 day. A reminder of the past,Positive,0.275,[]
49,@Esteban_GoLo,I feel a hunger which all the nourishment in the world cannot satisfy. Happy 420 everyone,Positive,0.8,['happy']
50,@tefothaskater,Happy 420. Download now.,Positive,0.8,['download']
51,@ahmdhaikall,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
52,@versaceprophet,happy 420 everyone! starting my day off with a vegan breakfast(:,Positive,0.5,['vegan breakfast']
53,@GottaLove_Chelz,Today is the only day you can this. Happy 420,Positive,0.4,['happy']
54,@nightlounge24,Happy 420,Positive,0.8,[]
55,@ohhfred,Happy 420 from,Positive,0.8,[]
56,@Marijuana_Mommy,Happy 420! :),Positive,0.75,[]
57,@BoxMyHeart,Happy 420 everybody.,Positive,0.8,[]
58,@hoy_ehh,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
59,@jbeam45,Happy 420 y'all!!! Xoxo-Remmi,Positive,1.0,['xoxo-remmi']
60,@eamonrabbit,Happy 420,Positive,0.8,[]
61,@Im1cute_badass,Happy 420! Blaze that $hIT👌👌👌😄🤗🤗🤗💆‍♂️💆‍♂️💆‍♂️💁‍♂️💯😝😜🌚🌝👉👌💫🌈,Positive,1.0,['blaze', '$ hit👌👌👌😄🤗🤗🤗💆\u200d♂️💆\u200d♂️💆\u200d♂️💁\u200d♂️💯😝😜🌚🌝👉👌💫🌈']
62,@feministripper,Happy belated 420 bb,Positive,0.8,[]
63,@R4V463,Goodnight  happy 420,Positive,0.8,['goodnight']
64,@Dannylight_OTF,That moment u drive past and he shouts out happy holiday 😂😅,Positive,0.275,['moment u drive past', 'happy holiday 😂😅']
65,@idcamille,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
66,@popolavictim,Happy 420 $50/g hmu frat boys,Positive,0.8,['$ 50/g hmu frat boys']
67,@Candy_FanCyFaCe,"Herb is the healing of a nation. Alcohol is the destruction." —Bob Marley.Happy 420!,Neutral,0.0,['herb', 'alcohol', 'marley.happy']
68,@prince_ezell,Happy 420 to those who celebrate.,Positive,0.8,[]
69,@kmalutka0,Happy 420 from and MJ.,Positive,0.8,['mj']
70,@JamesTLockhart,Happy 420! Here's Bernie Sanders being legit,Positive,1.0,['bernie sanders']
71,@jongupsthottie,Happy 420 y'all!* *Reminder that institutionalized racism means black people are 3.73 times more likely to be arrested f…,Positive,0.33333333333333337,['* *reminder', 'black people']
72,@IsabelleRinker,Happy 420,Positive,0.8,[]
73,@kingjohnniee,happy 420 I hope u guys aren't smokin cuz I'm not that's one thing I would not do is indulge in the devils lettuce that's…,Positive,0.8,['u guys', "n't smokin cuz", "devils lettuce that's…"]
74,@aLodevico,Listen to E. Badu - I BEEN GOIN THRU IT ALL- HAPPY 4/20 mix by Erykah-She lLL- Badu on,Positive,0.8,['listen', 'e. badu', 'been goin thru it all- happy', 'erykah-she', 'badu']
75,@milenaisawkward,happy 420 you deserve it. enjoy yourself.,Positive,0.6000000000000001,[]
76,@Liionell36,Happy 420 😋🤗,Positive,0.8,[]
77,@grandeharmonyx,happy and now,Positive,0.8,[]
78,@DiegoNicolas199,Happy 420,Positive,0.8,[]
79,@sojocu,"Herb is the healing of a nation. Alcohol is the destruction." —Bob Marley.Happy 420!,Neutral,0.0,['herb', 'alcohol', 'marley.happy']
80,@xsantaniax,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
81,@simshlatshwayo,Bro what? 😂😂 Happy 420,Positive,0.8,['bro', 'happy']
82,@zackisking28,Happy 420,Positive,0.8,[]
83,@miamondavi,Wow i cant believe the earth has been around for 420 years happy birthday Jesus,Positive,0.45,['wow', 'i cant', 'happy birthday', 'jesus']
84,@CMRollinsMark,Today is the only day you can this. Happy 420,Positive,0.4,['happy']
85,@hashtagbooty,DON'T SMOKE NO DAMN WEED HAPPY 420 THO,Positive,0.8,["do n't smoke no damn weed happy", 'tho']
86,@RMGLVV,Happy 420 wake and bake✌️🔥,Positive,0.8,[]
87,@marcorigo82,happy and now,Positive,0.8,[]
88,@steventeaster,New Music... happy 420 cc:,Positive,0.4681818181818182,['new music ...']
89,@R4V463,Happy 420 🍫🍃🤤,Positive,0.8,[]
90,@GarlandOfOz,happy and now,Positive,0.8,[]
91,@GarlandOfOz,| "happy and now from instagram,Positive,0.8,[]
92,@Chichaaay_,"Herb is the healing of a nation. Alcohol is the destruction." —Bob Marley.Happy 420!,Neutral,0.0,['herb', 'alcohol', 'marley.happy']
93,@joshbittner,happy 420! our prison system is glutted with black men on marijuana charges!,Positive,0.39583333333333337,['prison system', 'black men', 'marijuana charges']
94,@finallygarvie,it's 4⃣2⃣0⃣ today😳😱but I'm not smoking weed🌿🍁😴😏🚬I'm smoking💨😜the bible😇😋🙏🏽📕because heaven⬆️😍👐🏽😂is the highest you can get🙌…,Neutral,0.0,["'s 4⃣2⃣0⃣ today😳😱but", "weed🌿🍁😴😏🚬i 'm smoking💨😜the bible😇😋🙏🏽📕because heaven⬆️😍👐🏽😂is"]
95,@NatoPage,Happy 420!RT if you believe we need to end the war on drugs.,Positive,0.8,['rt']
96,@BricaBratt,One of the greatest quotes of all time...happy 420!,Positive,1.0,['time ...']
97,@makeoutbean,Sooo Happy 420? I'm lit.. I mean it's lit!😂,Positive,0.24375000000000002,['sooo happy', "'m lit..", "'s lit"]
98,@Smila___,Happy 420 don't watch the crease  Bill it Nd retweet 💨💨💨,Positive,0.8,['bill', 'nd', 'retweet 💨💨💨']
99,@_izzaatii,Happy 420 everyone my favorite weed is when i'm weed u,Positive,0.65,["i 'm"]
100,@AshLodhi,Happy 420 y'all!* *Reminder that institutionalized racism means black people are 3.73 times more likely to be arrested f…,Positive,0.33333333333333337,['* *reminder', 'black people']
