index,author,tweet,label,polarity,nouns
1,@ihaveoneking21,I promise you and i are gonna take over the world with this new song 🌊🌊🌊🌊🌊,Positive,0.13636363636363635,['gon na', 'new song 🌊🌊🌊🌊🌊']
2,@tavatweets,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
3,@ClickinChick,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
4,@prestonfowler14,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
5,@the_turts,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
6,@neftalirr,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
7,@jeffisageek,The new McDonald's uniforms look like they're from a 1970s dystopia,Positive,0.13636363636363635,['mcdonald', "'s uniforms", '1970s dystopia']
8,@kricesr,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
9,@ShamikaByrd,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
10,@enolarae,The new McDonald's uniforms look like something out of a 1970s dystopia,Positive,0.13636363636363635,['mcdonald', "'s uniforms", '1970s dystopia']
11,@MarysGotClass,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
12,@AshburnAnne,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
13,@irishvikingmob,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
14,@mikquattro,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
15,@dljohn94,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
16,@BlazerRamon,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
17,@QueenAdasia_,this the cutest promise ring I've ever seen,Neutral,0.0,[]
18,@MaliqMatthew,They were brought out of hiding by Trump not the far left. The promise of re…,Positive,0.05,['trump']
19,@jgodfrey,The Economist | Bagehot: Theresa May Tory of Tories,Neutral,0.0,['economist', 'bagehot', 'theresa may tory', 'tories']
20,@_CFJ_,Remember al…,Neutral,0.0,['remember']
21,@rebeleagle007,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
22,@KevinZukerman,DJT will next try to blame the Democrats for not allowing him to fulfill his promise.Catch a lot more bees with h…,Positive,0.25,['djt']
23,@Karlaninja,Remember the video of Ariana giving the guy money and saying "promise me you won't buy weed" that's my favorite video I can't…,Positive,0.5,['remember', 'ariana', 'guy money', "wo n't", 'favorite video']
24,@WTFisGoingOnDon,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
25,@Keira_Glasper,I promise you and I have the weirdest friendship ever and if you aren't friends with her then you're def missing out 😂😅😍😊❤️,Negative,-0.2,['weirdest friendship', "n't friends", "'re def"]
26,@Mo7eyBak,There is no conditions that's make someone miss his promise..😑. If all promises from the beginning were fake✋️👌,Neutral,0.0,[]
27,@brandyoatney22,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
28,@juggernate,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
29,@Steg68,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
30,@Thameatisbrown,I can't promise to give you the world but I'll damn sure try.,Positive,0.5,["ca n't", "'ll damn"]
31,@trupatriot4,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
32,@Theeranan_Toon,But the day you return to Korea I promise to send you guys to the airport again. I wish you happiness with Thailand.,Positive,0.7,['korea', 'thailand']
33,@SeventybyTwo,"While I tie this Mangalsutra I promise to never let that smile fade away!” said the groom to his beautiful bride.…,Positive,0.6125,['mangalsutra', 'smile fade', 'beautiful bride.…']
34,@divyanshu976,sir what happened to promise of regularising 495 the colonies in 2015 elections? you want to make fool of us once again?,Neutral,0.0,[]
35,@TattoooWo,Watch Charlotte Le Bon totally gush over her costars Christian Bale  Oscar Isaac!,Neutral,0.0,['watch charlotte', 'bon', 'bale oscar isaac']
36,@jewpoker,New McDonald's Uniforms Promise to Usher in the Logan's Run Dystopia We've All Been Waiting For,Positive,0.13636363636363635,['mcdonald', 'uniforms promise', 'usher', 'logan', 'run dystopia', 'been waiting']
37,@RightCoastCool,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
38,@_kingmelanin,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
39,@shamyshane,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
40,@Alhamadi723,I promise i'll always try to be the reason of your smile.💙,Neutral,0.0,["i 'll"]
41,@CountOnNate,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
42,@HowardNewUK,Campaign promise: It’s time for to audit the Federal,Neutral,0.0,['campaign', 'it’s']
43,@m1chellemor3no,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
44,@sparkychick3233,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
45,@carribana,Your vision is the promise of what you shall one day be your ideal is the prophecy of what you shall at last unveil. James Allen,Positive,0.45,['your', 'james allen']
46,@pkim24,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
47,@kevin_kubi,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
48,@WebsiteBranch,God made the promise... saying "I will surely bless you and I will surely multiply you." Hebrews 6:13-14,Positive,0.25,['god', 'hebrews']
49,@gotstalkers,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
50,@J_Moist,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
51,@Foux_Turfs,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
52,@fund_human,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
53,@johnlemmings2,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
54,@juliehinds,. has special meaning for and metro Detroit's Armenian community. Story by :,Positive,0.35714285714285715,['special meaning', 'detroit', 'armenian community']
55,@Nicholas_Stylez,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
56,@Monicaluna11221,I'm in love with the shape of you... I'm in bed and a car is playing that song rn ok I promise u I'm going to bed now ❤️,Positive,0.5,['song rn ok']
57,@Mihrimah_Irena,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
58,@hyvhyndevera,The "Pinky Promise" originally meant that the person who breaks the promise must cut off their pinky finger.,Positive,0.375,['pinky promise', 'pinky finger']
59,@Memnoch30,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
60,@GoGoGadge7,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
61,@MyVelvetRope,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
62,@shannon_craine,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
63,@YERANAYVAZIAN,Go see The Promise this weekend in a theater near you and to never forget the Armenian Genocide.,Positive,0.1,['promise', 'genocide']
64,@xShaany,SubhanAllah...So true. Very true. One of the truest statements ever. "And who's promise is truer than Allahs?",Positive,0.40249999999999997,['subhanallah', 'truest statements', 'allahs']
65,@crunkgirl711,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
66,@mamc3000,The First-Ever Feature Film About The Armenian Genocide Is Finally Here,Neutral,0.0,['first-ever feature film', 'genocide']
67,@RaetheVirtualPA,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
68,@FreeLaddin,You can open up to me if you'd like but I promise there is a 0% chance I'm doing the same to you,Neutral,0.0,['% chance']
69,@MultreesWalk,round up the pieces that promise to raise the excitement for holiday season: check out in store,Negative,-0.2,['holiday season']
70,@BikoRising,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
71,@andreOPA,CHRIS CORNELL On Armenian Genocide Depicted In 'The Promise' Movie: 'These Things Happen Now'…,Neutral,0.0,['chris cornell', 'genocide depicted', 'promise', 'movie', "'these things", "happen now'…"]
72,@BagdeSunil,This AAP promise tracker is quite interesting. Giving out details of progress on the 70 promises they,Positive,0.5,['aap']
73,@legacyincbali,CHRIS CORNELL On Armenian Genocide Depicted In 'The Promise' Movie: 'These Things Happen Now'…,Neutral,0.0,['chris cornell', 'genocide depicted', 'promise', 'movie', "'these things", "happen now'…"]
74,@blitzkriegradio,CHRIS CORNELL On Armenian Genocide Depicted In 'The Promise' Movie: 'These Things Happen Now',Neutral,0.0,['chris cornell', 'genocide depicted', 'promise', 'movie', "'these things", 'happen']
75,@samulitmakela,CHRIS CORNELL On Armenian Genocide Depicted In 'The Promise' Movie: 'These Things Happen Now'…,Neutral,0.0,['chris cornell', 'genocide depicted', 'promise', 'movie', "'these things", "happen now'…"]
76,@s19xxgg,Promise I’ll be @AppleMusic,Neutral,0.0,['promise i’ll', 'applemusic']
77,@lonenight_,CHRIS CORNELL On Armenian Genocide Depicted In 'The Promise' Movie: 'These Things Happen Now',Neutral,0.0,['chris cornell', 'genocide depicted', 'promise', 'movie', "'these things", 'happen']
78,@HotAirNetwork,Artificial intelligence: fulfilling the failed promise of big data,Negative,-0.3666666666666667,['artificial', 'big data']
79,@UziSuicidal,CHRIS CORNELL On Armenian Genocide Depicted In 'The Promise' Movie: 'These Things Happen Now'…,Neutral,0.0,['chris cornell', 'genocide depicted', 'promise', 'movie', "'these things", "happen now'…"]
80,@beholdthymother,Poor blind creature who gives one hand to God  th other to the world so he can call both to his aid  promise his heart to each in turn!,Negative,-0.3520833333333333,['poor', 'blind creature', 'god']
81,@californianewsn,Once Upon a Time in Turkey: The Promise,Neutral,0.0,['upon', 'promise']
82,@xlqhx,Promise I’ll be @AppleMusic,Neutral,0.0,['promise i’ll', 'applemusic']
83,@sporadicstache,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
84,@JAlexBlackwood,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
85,@sathish3005may,In Theaters This Weekend: Reviews of 'The Promise' 'Unforgettable' and More,Positive,0.65,['theaters', 'weekend', 'reviews', 'promise']
86,@MarkSBabbitt,The Promise The Downside of Going Viral and Making a Career from Stage - via,Neutral,0.0,['promise', 'downside', 'going viral', 'making', 'career']
87,@sathish3005may,'The Promise' vs. 'The Ottoman Lieutenant': Two Movies Battle Over The Armenian Genocide,Neutral,0.0,['promise', 'ottoman lieutenant', 'movies', 'genocide']
88,@off_beat_dead,Just dream about fucking me to death and you'll make it through the day. I promise.,Negative,-0.6,[]
89,@NOT_CHRISTINE,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
90,@lilscud1974,If "the promise" was to use hard working American's tax dollars for weekend trips...Then Donald Trump is great at keep…,Positive,0.16944444444444443,["american 's tax dollars", 'weekend trips ...', 'donald trump']
91,@ARAMAC_CA,Why everyone must see the Armenian genocide movie ‘The Promise’ - Opinion - Jerusalem Post,Neutral,0.0,['armenian genocide movie ‘the', 'promise’', 'opinion', 'jerusalem']
92,@mesem33,Watch Charlotte Le Bon totally gush over her costars Christian Bale  Oscar Isaac!,Neutral,0.0,['watch charlotte', 'bon', 'bale oscar isaac']
93,@BrainOfGaga,Promise I'll always be there Promise I'll always be the cure,Neutral,0.0,['promise', 'promise']
94,@maxwelpowerup,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
95,@texasinfranow,Keep The Promise!,Neutral,0.0,['keep', 'promise']
96,@dcorcnysse,So one last time I need to be the one who takes you home so one more time i promise after that I'll let you go,Positive,0.25,['time i']
97,@snyder_jennifer,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
98,@punkwich,I feel like I'm mostly packed but also I'm not also why did I promise to MAKE FOOD for ppl the day before I move,Positive,0.5,['make food']
99,@TrumpBot2000,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
100,@LisaMarieW_13,Keep the promise.,Neutral,0.0,['keep']
